0.017,1.000,0.200,0.007,-1.547,0.000,1.554,0.026,91.423,0.003,0.000,0.000,-0.300,-0.297,-0.297,0.500,0.100,0.001,0.000,0.017,0.200,-0.200,0.200,0.500
0.123,1.000,0.200,0.042,-1.277,-1.547,1.319,0.166,-2.218,0.014,-0.000,0.000,-0.300,-0.286,-0.286,0.500,0.100,0.001,0.000,0.106,0.200,-0.200,0.200,0.500
0.219,1.000,0.200,0.038,-1.071,-1.277,1.109,0.273,-2.184,0.011,-0.000,0.000,-0.300,-0.289,-0.289,0.500,0.100,0.001,0.000,0.096,0.200,-0.200,0.200,0.500
0.322,1.000,0.200,0.041,-0.888,-1.071,0.929,0.368,-1.749,0.010,-0.000,0.000,-0.300,-0.290,-0.290,0.500,0.100,0.001,0.000,0.103,0.200,-0.200,0.200,0.500
0.437,1.000,0.200,0.046,-0.722,-0.888,0.768,0.457,-1.402,0.009,-0.000,0.000,-0.300,-0.291,-0.291,0.500,0.100,0.001,0.000,0.115,0.200,-0.200,0.200,0.500
0.515,1.000,0.200,0.031,-0.625,-0.722,0.656,0.508,-1.439,0.005,-0.000,0.000,-0.300,-0.295,-0.295,0.500,0.100,0.001,0.000,0.078,0.200,-0.200,0.200,0.500
0.617,1.000,0.200,0.041,-0.519,-0.625,0.560,0.565,-0.943,0.006,-0.000,0.000,-0.300,-0.294,-0.294,0.500,0.100,0.001,0.000,0.102,0.200,-0.200,0.200,0.500
0.719,1.000,0.200,0.041,-0.431,-0.519,0.472,0.613,-0.862,0.005,-0.000,0.000,-0.300,-0.295,-0.295,0.500,0.100,0.001,0.000,0.102,0.200,-0.200,0.200,0.500
0.818,1.000,0.200,0.040,-0.360,-0.431,0.399,0.653,-0.731,0.004,-0.000,0.000,-0.300,-0.296,-0.296,0.500,0.100,0.001,0.000,0.099,0.200,-0.200,0.200,0.500
0.926,1.000,0.200,0.043,-0.296,-0.360,0.339,0.689,-0.558,0.004,-0.000,0.000,-0.300,-0.296,-0.296,0.500,0.100,0.001,0.000,0.108,0.200,-0.200,0.200,0.500
1.015,1.000,0.200,0.036,-0.251,-0.296,0.287,0.715,-0.588,0.003,-0.000,0.000,-0.300,-0.297,-0.297,0.500,0.100,0.001,0.000,0.089,0.200,-0.200,0.200,0.500
1.117,1.000,0.200,0.041,-0.209,-0.251,0.249,0.740,-0.366,0.003,-0.000,0.000,-0.300,-0.297,-0.297,0.500,0.100,0.001,0.000,0.102,0.200,-0.200,0.200,0.500
1.215,1.000,0.200,0.039,-0.174,-0.209,0.214,0.761,-0.365,0.002,-0.000,0.000,-0.300,-0.298,-0.298,0.500,0.100,0.001,0.000,0.098,0.200,-0.200,0.200,0.500
1.327,1.000,0.200,0.045,-0.142,-0.174,0.187,0.782,-0.235,0.002,-0.000,0.000,-0.300,-0.298,-0.298,0.500,0.100,0.001,0.000,0.112,0.200,-0.200,0.200,0.500
1.420,1.000,0.200,0.037,-0.120,-0.142,0.157,0.797,-0.322,0.001,-0.000,0.000,-0.300,-0.298,-0.298,0.500,0.100,0.001,0.000,0.093,0.200,-0.200,0.200,0.500
1.515,1.000,0.200,0.038,-0.101,-0.120,0.139,0.810,-0.193,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.095,0.200,-0.200,0.200,0.500
1.615,1.000,0.200,0.040,-0.084,-0.101,0.124,0.822,-0.148,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.100,0.200,-0.200,0.200,0.500
1.715,1.000,0.200,0.040,-0.070,-0.084,0.110,0.833,-0.140,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.100,0.200,-0.200,0.200,0.500
1.814,1.000,0.200,0.040,-0.059,-0.070,0.098,0.843,-0.121,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.099,0.200,-0.200,0.200,0.500
1.924,1.000,0.200,0.044,-0.048,-0.059,0.092,0.853,-0.056,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.110,0.200,-0.200,0.200,0.500
2.014,1.000,0.200,0.036,-0.041,-0.048,0.077,0.860,-0.170,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.090,0.200,-0.200,0.200,0.500
2.115,1.000,0.200,0.040,-0.034,-0.041,0.074,0.868,-0.024,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.101,0.200,-0.200,0.200,0.500
2.215,1.000,0.200,0.040,-0.028,-0.034,0.068,0.874,-0.060,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.100,0.200,-0.200,0.200,0.500
2.319,1.000,0.200,0.042,-0.023,-0.028,0.065,0.881,-0.031,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.104,0.200,-0.200,0.200,0.500
2.428,1.000,0.200,0.044,-0.019,-0.023,0.063,0.888,-0.020,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.109,0.200,-0.200,0.200,0.500
2.525,1.000,0.200,0.039,-0.016,-0.019,0.055,0.893,-0.082,0.001,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.097,0.200,-0.200,0.200,0.500
2.630,1.000,0.200,0.042,-0.013,-0.016,0.055,0.899,0.004,0.001,0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.105,0.200,-0.200,0.200,0.500
2.725,1.000,0.200,0.038,-0.011,-0.013,0.049,0.904,-0.064,0.000,-0.000,0.000,-0.300,-0.299,-0.299,0.500,0.100,0.001,0.000,0.095,0.200,-0.200,0.200,0.500
